Experiment,Classifier,AUC (Train),AUC (Test),Time taken,Hyperparameters,used_columns,preprocessing
1,DecisionTree,0.9710087635433957,0.9163832399358,27.586530087006395,default,"app, device, os, channel","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
1,RandomForest,0.9709290688522753,0.937028670059006,400.26013227501244,n_estimators=100,"app, device, os, channel","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
1,AdaBoost,0.8991649797114728,0.9082967212642366,143.00453795499925,n_estimators=50,"app, device, os, channel","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
1,XGBoost,0.5496559696476127,0.623589294605809,30.44790468600695,n_estimators=100,"app, device, os, channel","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
2,RandomForest,0.9709413307141284,0.938633244536736,786.2604328970046,n_estimators=200,"app, device, os, channel","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
2,AdaBoost,0.9134684227694582,0.9227157084220543,279.4987737539923,n_estimators=100,"app, device, os, channel","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
2,XGBoost,0.5999093050244262,0.6727810158442386,58.08808643800148,n_estimators=200,"app, device, os, channel","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
3,RandomForest,0.9709460038689764,0.9387797560111415,1172.406614781008,n_estimators=300,"app, device, os, channel","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
3,AdaBoost,0.9200694345104334,0.9297858879556281,415.4696418250096,n_estimators=150,"app, device, os, channel","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
3,XGBoost,0.6648651858711327,0.7190609649927016,86.8096571220085,n_estimators=300,"app, device, os, channel","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
4,RandomForest,0.9709480906013613,0.9386993806692698,1552.323437828003,n_estimators=400,"app, device, os, channel","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
4,AdaBoost,0.9246043789196666,0.9310863052828982,550.0100043959974,n_estimators=200,"app, device, os, channel","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
4,XGBoost,0.6729898096621181,0.7142385849893174,117.63220508799714,n_estimators=400,"app, device, os, channel","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
5,RandomForest,0.970949110319397,0.9396414293773752,1919.8632117210072,n_estimators=500,"app, device, os, channel","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
5,AdaBoost,0.9284512565948538,0.9322735074957946,685.4407376379968,n_estimators=250,"app, device, os, channel","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
5,XGBoost,0.7162559363607082,0.7485812369913325,144.77571209799498,n_estimators=500,"app, device, os, channel","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
6,AdaBoost,0.9352648259799499,0.9359717828142009,1354.5807610919874,n_estimators=500,"app, device, os, channel","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
6,XGBoost,0.7715544013015104,0.7938270562905183,294.4157612239942,n_estimators=1000,"app, device, os, channel","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
